2016-09-09 23:14:11.713 [main] INFO  io.agi.framework.persistence.PersistenceFactory - Using JDBC (SQL) for persistence.
2016-09-09 23:14:14.199 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierStressLearningRate value: 0.001
2016-09-09 23:14:14.218 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierStressSplitLearningRate value: 0.5
2016-09-09 23:14:14.240 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierGrowthInterval value: 120
2016-09-09 23:14:14.260 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-2-ff path: classifierEdgeMaxAge value: 400
2016-09-09 23:14:14.280 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: emitUnchangedCells value: false
2016-09-09 23:14:14.300 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: predictorLearningRate value: 0.005
2016-09-09 23:14:14.321 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: receptiveFieldsTrainingSamples value: 0.1
2016-09-09 23:14:14.341 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: defaultPredictionInhibition value: 1.0
2016-09-09 23:14:14.360 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifiersPerBit1 value: 3
2016-09-09 23:14:14.381 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifiersPerBit2 value: 1
2016-09-09 23:14:14.402 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: organizerWidthCells value: 2
2016-09-09 23:14:14.423 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: organizerHeightCells value: 2
2016-09-09 23:14:14.443 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: organizerIntervalsInput1X value: 2
2016-09-09 23:14:14.465 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: organizerIntervalsInput2X value: 1
2016-09-09 23:14:14.487 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: organizerIntervalsInput1Y value: 2
2016-09-09 23:14:14.507 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: organizerIntervalsInput2Y value: 1
2016-09-09 23:14:14.529 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierWidthCells value: 8
2016-09-09 23:14:14.552 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierHeightCells value: 8
2016-09-09 23:14:14.572 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierDepthCells value: 1
2016-09-09 23:14:14.593 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierStressThreshold value: 0.0
2016-09-09 23:14:14.614 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierLearningRate value: 0.03
2016-09-09 23:14:14.634 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierLearningRateNeighbours value: 0.001
2016-09-09 23:14:14.654 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierStressLearningRate value: 0.001
2016-09-09 23:14:14.675 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierStressSplitLearningRate value: 0.5
2016-09-09 23:14:14.697 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierGrowthInterval value: 120
2016-09-09 23:14:14.717 [main] INFO  io.agi.framework.Framework - Set config of: 2016-09-09-11:14:11/image-region-3-ff path: classifierEdgeMaxAge value: 400
2016-09-09 23:14:14.751 [main] ERROR io.agi.framework.Main - [Ljava.lang.StackTraceElement;@5762806e
